Designator,Mid X,Mid Y,Layer,Rotation
C1,16.51,17.65,Top,0.0
C2,16.51,10.41,Top,180.0
JP1,20.83, 4.45,Top,0.0
JP2, 6.22, 8.51,Top,270.0
R1,11.18,13.46,Top,270.0
U1,16.51,13.72,Top,0.0
